Source User,Category,Count
example_domain\alan.martin,insufficient-content,210
example_domain\alan.martin,stock-advice-and-tools,179
example_domain\alan.martin,entertainment-and-arts,122
example_domain\alan.martin,shareware-and-freeware,109
example_domain\alan.martin,internet-portals,52
example_domain\alan.martin,news,35
example_domain\alan.martin,games,30
example_domain\alan.martin,internet-communications-and-telephony,26
example_domain\alan.martin,financial-services,14
example_domain\alan.martin,training-and-tools,12
example_domain\alan.martin,personal-sites-and-blogs,11
example_domain\alan.martin,shopping,9
example_domain\alan.martin,society,7
example_domain\alan.martin,social-networking,6
example_domain\alan.martin,motor-vehicles,5
example_domain\alan.martin,travel,3
example_domain\alan.martin,,3
example_domain\alan.martin,translation,1
example_domain\alan.martin,not-resolved,1
example_domain\alan.martin,job-search,1
example_domain\stephanie.griffith,computer-and-internet-info,239054
example_domain\stephanie.griffith,search-engines,3447
example_domain\stephanie.griffith,stock-advice-and-tools,1735
example_domain\stephanie.griffith,content-delivery-networks,1006
example_domain\stephanie.griffith,translation,799
example_domain\stephanie.griffith,business-and-economy,722
example_domain\stephanie.griffith,shareware-and-freeware,401
example_domain\stephanie.griffith,shopping,354
example_domain\stephanie.griffith,web-advertisements,321
example_domain\stephanie.griffith,reference-and-research,32
example_domain\stephanie.griffith,internet-communications-and-telephony,17
example_domain\stephanie.griffith,news,16
example_domain\stephanie.griffith,internet-portals,13
example_domain\stephanie.griffith,society,9
example_domain\stephanie.griffith,insufficient-content,8
example_domain\stephanie.griffith,training-and-tools,7
example_domain\stephanie.griffith,streaming-media,6
example_domain\stephanie.griffith,financial-services,4
example_domain\stephanie.griffith,government,3
example_domain\stephanie.griffith,health-and-medicine,2
example_domain\stephanie.griffith,personal-sites-and-blogs,2
example_domain\stephanie.griffith,entertainment-and-arts,1
example_domain\stephanie.griffith,educational-institutions,1
example_domain\stephanie.griffith,legal,1
example_domain\stephanie.griffith,philosophy-and-political-advocacy,1
example_domain\lindsey.miller,computer-and-internet-info,225786
example_domain\lindsey.miller,search-engines,4999
example_domain\lindsey.miller,web-advertisements,4851
example_domain\lindsey.miller,business-and-economy,4073
example_domain\lindsey.miller,news,3778
example_domain\lindsey.miller,content-delivery-networks,2601
example_domain\lindsey.miller,entertainment-and-arts,267
example_domain\lindsey.miller,stock-advice-and-tools,258
example_domain\lindsey.miller,shopping,160
example_domain\lindsey.miller,financial-services,125
example_domain\lindsey.miller,internet-portals,82
example_domain\lindsey.miller,insufficient-content,68
example_domain\lindsey.miller,sports,61
example_domain\lindsey.miller,motor-vehicles,47
example_domain\lindsey.miller,travel,35
example_domain\lindsey.miller,auctions,33
example_domain\lindsey.miller,internet-communications-and-telephony,32
example_domain\lindsey.miller,reference-and-research,31
example_domain\lindsey.miller,music,29
example_domain\lindsey.miller,web-hosting,21
example_domain\lindsey.miller,social-networking,19
example_domain\lindsey.miller,society,19
example_domain\lindsey.miller,government,13
example_domain\lindsey.miller,training-and-tools,12
example_domain\lindsey.miller,educational-institutions,10
example_domain\lindsey.miller,health-and-medicine,10
example_domain\lindsey.miller,real-estate,5
example_domain\lindsey.miller,personal-sites-and-blogs,2
example_domain\lindsey.miller,newly-registered-domain,2
example_domain\lindsey.miller,alcohol-and-tobacco,2
example_domain\lindsey.miller,not-resolved,1
example_domain\lindsey.miller,games,1
example_domain\lindsey.miller,streaming-media,1
example_domain\jason.zimmerman,computer-and-internet-info,235308
example_domain\jason.zimmerman,business-and-economy,5775
example_domain\jason.zimmerman,search-engines,3782
example_domain\jason.zimmerman,government,749
example_domain\jason.zimmerman,internet-portals,406
example_domain\jason.zimmerman,content-delivery-networks,220
example_domain\jason.zimmerman,stock-advice-and-tools,176
example_domain\jason.zimmerman,web-advertisements,139
example_domain\jason.zimmerman,news,56
example_domain\jason.zimmerman,job-search,43
example_domain\jason.zimmerman,internet-communications-and-telephony,24
example_domain\jason.zimmerman,financial-services,18
example_domain\jason.zimmerman,health-and-medicine,9
example_domain\jason.zimmerman,web-hosting,6
example_domain\jason.zimmerman,motor-vehicles,6
example_domain\jason.zimmerman,travel,5
example_domain\jason.zimmerman,shopping,4
example_domain\jason.zimmerman,personal-sites-and-blogs,2
example_domain\jason.zimmerman,streaming-media,2
example_domain\jason.zimmerman,training-and-tools,1
example_domain\jason.zimmerman,social-networking,1
example_domain\jason.zimmerman,entertainment-and-arts,1
example_domain\jason.zimmerman,insufficient-content,1
example_domain\linda.clark,computer-and-internet-info,233090
example_domain\linda.clark,search-engines,6006
example_domain\linda.clark,business-and-economy,1036
example_domain\linda.clark,content-delivery-networks,830
example_domain\linda.clark,web-advertisements,756
example_domain\linda.clark,stock-advice-and-tools,264
example_domain\linda.clark,reference-and-research,62
example_domain\linda.clark,personal-sites-and-blogs,57
example_domain\linda.clark,news,54
example_domain\linda.clark,shopping,51
example_domain\linda.clark,travel,47
example_domain\linda.clark,financial-services,35
example_domain\linda.clark,internet-communications-and-telephony,30
example_domain\linda.clark,internet-portals,29
example_domain\linda.clark,training-and-tools,26
example_domain\linda.clark,social-networking,14
example_domain\linda.clark,web-hosting,12
example_domain\linda.clark,insufficient-content,11
example_domain\linda.clark,,8
example_domain\linda.clark,society,8
example_domain\linda.clark,educational-institutions,6
example_domain\linda.clark,translation,4
example_domain\linda.clark,shareware-and-freeware,4
example_domain\linda.clark,job-search,3
example_domain\linda.clark,motor-vehicles,2
example_domain\linda.clark,alcohol-and-tobacco,2
example_domain\linda.clark,real-estate,2
example_domain\linda.clark,entertainment-and-arts,2
example_domain\linda.clark,streaming-media,2
example_domain\linda.clark,not-resolved,1
example_domain\linda.clark,giphy,1
example_domain\robert.guzman,computer-and-internet-info,232988
example_domain\robert.guzman,business-and-economy,6307
example_domain\robert.guzman,search-engines,2398
example_domain\robert.guzman,stock-advice-and-tools,239
example_domain\robert.guzman,content-delivery-networks,84
example_domain\robert.guzman,web-advertisements,40
example_domain\robert.guzman,financial-services,38
example_domain\robert.guzman,job-search,30
example_domain\robert.guzman,internet-communications-and-telephony,9
example_domain\robert.guzman,news,7
example_domain\robert.guzman,reference-and-research,2
example_domain\robert.guzman,translation,1
example_domain\robert.guzman,web-hosting,1
example_domain\robert.guzman,internet-portals,1
example_domain\christopher.hernandez,computer-and-internet-info,236012
example_domain\christopher.hernandez,search-engines,3364
example_domain\christopher.hernandez,stock-advice-and-tools,687
example_domain\christopher.hernandez,business-and-economy,582
example_domain\christopher.hernandez,financial-services,195
example_domain\christopher.hernandez,content-delivery-networks,108
example_domain\christopher.hernandez,job-search,57
example_domain\christopher.hernandez,internet-communications-and-telephony,26
example_domain\christopher.hernandez,news,13
example_domain\christopher.hernandez,web-advertisements,11
example_domain\christopher.hernandez,web-hosting,5
example_domain\christopher.hernandez,translation,4
example_domain\jack.taylor,computer-and-internet-info,228283
example_domain\jack.taylor,business-and-economy,7621
example_domain\jack.taylor,search-engines,2785
example_domain\jack.taylor,financial-services,313
example_domain\jack.taylor,web-advertisements,212
example_domain\jack.taylor,stock-advice-and-tools,100
example_domain\jack.taylor,content-delivery-networks,99
example_domain\jack.taylor,educational-institutions,63
example_domain\jack.taylor,job-search,27
example_domain\jack.taylor,,26
example_domain\jack.taylor,news,22
example_domain\jack.taylor,internet-portals,20
example_domain\jack.taylor,government,8
example_domain\jack.taylor,internet-communications-and-telephony,4
example_domain\jack.taylor,motor-vehicles,2
example_domain\jack.taylor,shopping,2
example_domain\jack.taylor,social-networking,2
example_domain\jack.taylor,society,1
example_domain\jack.taylor,reference-and-research,1
example_domain\jack.taylor,real-estate,1
example_domain\jack.taylor,travel,1
example_domain\jack.taylor,sports,1
example_domain\david.jensen,computer-and-internet-info,235545
example_domain\david.jensen,search-engines,2640
example_domain\david.jensen,stock-advice-and-tools,297
example_domain\david.jensen,content-delivery-networks,119
example_domain\david.jensen,business-and-economy,55
example_domain\david.jensen,web-advertisements,13
example_domain\david.jensen,streaming-media,2
example_domain\david.jensen,shopping,2
example_domain\david.jensen,news,1
example_domain\david.jensen,travel,1
example_domain\david.jensen,,1
example_domain\david.jensen,reference-and-research,1
example_domain\david.jensen,training-and-tools,1
example_domain\david.jensen,internet-portals,1
example_domain\mario.gutierrez,computer-and-internet-info,233192
example_domain\mario.gutierrez,search-engines,4250
example_domain\mario.gutierrez,stock-advice-and-tools,574
example_domain\mario.gutierrez,web-advertisements,339
example_domain\mario.gutierrez,content-delivery-networks,153
example_domain\mario.gutierrez,internet-portals,101
example_domain\mario.gutierrez,business-and-economy,47
example_domain\mario.gutierrez,,6
example_domain\mario.gutierrez,not-resolved,1
example_domain\matthew.gonzales,computer-and-internet-info,224341
example_domain\matthew.gonzales,search-engines,4765
example_domain\matthew.gonzales,business-and-economy,2290
example_domain\matthew.gonzales,web-advertisements,2000
example_domain\matthew.gonzales,shopping,954
example_domain\matthew.gonzales,content-delivery-networks,568
example_domain\matthew.gonzales,internet-portals,398
example_domain\matthew.gonzales,financial-services,283
example_domain\matthew.gonzales,stock-advice-and-tools,282
example_domain\matthew.gonzales,news,147
example_domain\matthew.gonzales,travel,116
example_domain\matthew.gonzales,insufficient-content,96
example_domain\matthew.gonzales,internet-communications-and-telephony,31
example_domain\matthew.gonzales,society,28
example_domain\matthew.gonzales,personal-sites-and-blogs,19
example_domain\matthew.gonzales,health-and-medicine,16
example_domain\matthew.gonzales,entertainment-and-arts,14
example_domain\matthew.gonzales,reference-and-research,13
example_domain\matthew.gonzales,educational-institutions,10
example_domain\matthew.gonzales,real-estate,8
example_domain\matthew.gonzales,social-networking,8
example_domain\matthew.gonzales,sports,7
example_domain\matthew.gonzales,web-hosting,4
example_domain\matthew.gonzales,streaming-media,4
example_domain\matthew.gonzales,music,3
example_domain\matthew.gonzales,,2
example_domain\matthew.gonzales,training-and-tools,2
example_domain\matthew.gonzales,government,2
example_domain\matthew.gonzales,not-resolved,1
example_domain\matthew.gonzales,motor-vehicles,1
example_domain\matthew.gonzales,home-and-garden,1
example_domain\michael.anderson,computer-and-internet-info,232090
example_domain\michael.anderson,search-engines,3341
example_domain\michael.anderson,stock-advice-and-tools,298
example_domain\michael.anderson,,156
example_domain\michael.anderson,business-and-economy,132
example_domain\michael.anderson,content-delivery-networks,131
example_domain\michael.anderson,internet-portals,93
example_domain\michael.anderson,web-advertisements,14
example_domain\michael.anderson,news,12
example_domain\michael.anderson,streaming-media,4
example_domain\michael.anderson,web-hosting,1
example_domain\michael.anderson,reference-and-research,1
example_domain\michael.anderson,training-and-tools,1
example_domain\patrick.carroll,computer-and-internet-info,225939
example_domain\patrick.carroll,search-engines,3441
example_domain\patrick.carroll,job-search,2143
example_domain\patrick.carroll,business-and-economy,1088
example_domain\patrick.carroll,travel,1023
example_domain\patrick.carroll,stock-advice-and-tools,638
example_domain\patrick.carroll,internet-communications-and-telephony,612
example_domain\patrick.carroll,content-delivery-networks,579
example_domain\patrick.carroll,web-advertisements,308
example_domain\patrick.carroll,web-hosting,149
example_domain\patrick.carroll,news,119
example_domain\patrick.carroll,training-and-tools,27
example_domain\patrick.carroll,government,26
example_domain\patrick.carroll,reference-and-research,14
example_domain\patrick.carroll,insufficient-content,13
example_domain\patrick.carroll,real-estate,12
example_domain\patrick.carroll,internet-portals,10
example_domain\patrick.carroll,parked,8
example_domain\patrick.carroll,entertainment-and-arts,6
example_domain\patrick.carroll,society,5
example_domain\patrick.carroll,social-networking,3
example_domain\patrick.carroll,sports,3
example_domain\patrick.carroll,not-resolved,2
example_domain\patrick.carroll,translation,2
example_domain\patrick.carroll,,1
example_domain\patrick.carroll,games,1
example_domain\patrick.carroll,music,1
example_domain\patrick.carroll,shopping,1
example_domain\patrick.carroll,streaming-media,1
example_domain\patrick.carroll,home-and-garden,1
example_domain\holly.howard,computer-and-internet-info,223812
example_domain\holly.howard,search-engines,3422
example_domain\holly.howard,stock-advice-and-tools,2447
example_domain\holly.howard,business-and-economy,1714
example_domain\holly.howard,web-advertisements,1204
example_domain\holly.howard,internet-communications-and-telephony,1080
example_domain\holly.howard,content-delivery-networks,797
example_domain\holly.howard,internet-portals,403
example_domain\holly.howard,entertainment-and-arts,93
example_domain\holly.howard,shareware-and-freeware,73
example_domain\holly.howard,news,44
example_domain\holly.howard,social-networking,15
example_domain\holly.howard,insufficient-content,13
example_domain\holly.howard,society,8
example_domain\holly.howard,real-estate,8
example_domain\holly.howard,shopping,7
example_domain\holly.howard,,5
example_domain\holly.howard,games,5
example_domain\holly.howard,travel,2
example_domain\holly.howard,financial-services,2
example_domain\holly.howard,sports,2
example_domain\holly.howard,reference-and-research,2
example_domain\holly.howard,philosophy-and-political-advocacy,1
example_domain\holly.howard,streaming-media,1
example_domain\holly.howard,translation,1
example_domain\holly.howard,motor-vehicles,1
example_domain\holly.howard,not-resolved,1
example_domain\holly.howard,educational-institutions,1
example_domain\holly.howard,job-search,1
example_domain\holly.howard,training-and-tools,1
example_domain\kyle.simon,computer-and-internet-info,227904
example_domain\kyle.simon,search-engines,3227
example_domain\kyle.simon,business-and-economy,1635
example_domain\kyle.simon,content-delivery-networks,466
example_domain\kyle.simon,stock-advice-and-tools,233
example_domain\kyle.simon,web-advertisements,231
example_domain\kyle.simon,news,53
example_domain\kyle.simon,internet-communications-and-telephony,51
example_domain\kyle.simon,shareware-and-freeware,26
example_domain\kyle.simon,insufficient-content,10
example_domain\kyle.simon,job-search,9
example_domain\kyle.simon,internet-portals,7
example_domain\kyle.simon,web-hosting,6
example_domain\kyle.simon,entertainment-and-arts,5
example_domain\kyle.simon,reference-and-research,5
example_domain\kyle.simon,BOX,3
example_domain\kyle.simon,music,2
example_domain\kyle.simon,,2
example_domain\kyle.simon,home-and-garden,2
example_domain\kyle.simon,shopping,1
example_domain\kyle.simon,not-resolved,1
example_domain\kyle.simon,society,1
example_domain\kyle.simon,translation,1
example_domain\kyle.simon,travel,1
example_domain\kyle.simon,government,1
example_domain\kyle.simon,personal-sites-and-blogs,1
example_domain\timothy.castillo,computer-and-internet-info,228753
example_domain\timothy.castillo,search-engines,3188
example_domain\timothy.castillo,business-and-economy,888
example_domain\timothy.castillo,stock-advice-and-tools,346
example_domain\timothy.castillo,content-delivery-networks,232
example_domain\timothy.castillo,web-advertisements,161
example_domain\timothy.castillo,internet-portals,87
example_domain\timothy.castillo,streaming-media,49
example_domain\timothy.castillo,shopping,33
example_domain\timothy.castillo,news,15
example_domain\timothy.castillo,web-hosting,14
example_domain\timothy.castillo,reference-and-research,9
example_domain\timothy.castillo,society,8
example_domain\timothy.castillo,internet-communications-and-telephony,8
example_domain\timothy.castillo,personal-sites-and-blogs,6
example_domain\timothy.castillo,insufficient-content,5
example_domain\timothy.castillo,government,2
example_domain\timothy.castillo,financial-services,2
example_domain\timothy.castillo,music,1
example_domain\timothy.castillo,translation,1
example_domain\katie.anderson,computer-and-internet-info,229480
example_domain\katie.anderson,search-engines,2812
example_domain\katie.anderson,business-and-economy,564
example_domain\katie.anderson,internet-portals,165
example_domain\katie.anderson,web-advertisements,126
example_domain\katie.anderson,,105
example_domain\katie.anderson,content-delivery-networks,74
example_domain\katie.anderson,stock-advice-and-tools,55
example_domain\katie.anderson,training-and-tools,13
example_domain\katie.anderson,society,4
example_domain\katie.anderson,news,4
example_domain\katie.anderson,not-resolved,1
example_domain\katie.anderson,motor-vehicles,1
example_domain\katie.anderson,educational-institutions,1
example_domain\katie.anderson,social-networking,1
example_domain\cindy.gilbert,computer-and-internet-info,228519
example_domain\cindy.gilbert,search-engines,2701
example_domain\cindy.gilbert,business-and-economy,1160
example_domain\cindy.gilbert,stock-advice-and-tools,400
example_domain\cindy.gilbert,financial-services,289
example_domain\cindy.gilbert,content-delivery-networks,185
example_domain\cindy.gilbert,web-advertisements,46
example_domain\cindy.gilbert,web-hosting,36
example_domain\cindy.gilbert,news,11
example_domain\cindy.gilbert,internet-portals,10
example_domain\cindy.gilbert,health-and-medicine,4
example_domain\cindy.gilbert,,2
example_domain\cindy.gilbert,travel,2
example_domain\cindy.gilbert,not-resolved,1
example_domain\cindy.gilbert,government,1
example_domain\cindy.gilbert,social-networking,1
example_domain\cindy.gilbert,internet-communications-and-telephony,1
example_domain\alyssa.barnes,computer-and-internet-info,227668
example_domain\alyssa.barnes,search-engines,2680
example_domain\alyssa.barnes,financial-services,2205
example_domain\alyssa.barnes,business-and-economy,332
example_domain\alyssa.barnes,content-delivery-networks,122
example_domain\alyssa.barnes,internet-portals,42
example_domain\alyssa.barnes,training-and-tools,33
example_domain\alyssa.barnes,stock-advice-and-tools,24
example_domain\alyssa.barnes,web-advertisements,16
example_domain\alyssa.barnes,web-hosting,1
example_domain\alyssa.barnes,translation,1
example_domain\charles.burgess,computer-and-internet-info,222412
example_domain\charles.burgess,search-engines,3162
example_domain\charles.burgess,business-and-economy,3077
example_domain\charles.burgess,web-advertisements,2150
example_domain\charles.burgess,content-delivery-networks,567
example_domain\charles.burgess,translation,531
example_domain\charles.burgess,insufficient-content,283
example_domain\charles.burgess,shareware-and-freeware,241
example_domain\charles.burgess,stock-advice-and-tools,144
example_domain\charles.burgess,news,64
example_domain\charles.burgess,music,29
example_domain\charles.burgess,entertainment-and-arts,24
example_domain\charles.burgess,financial-services,19
example_domain\charles.burgess,training-and-tools,16
example_domain\charles.burgess,internet-portals,13
example_domain\charles.burgess,shopping,12
example_domain\charles.burgess,personal-sites-and-blogs,6
example_domain\charles.burgess,travel,4
example_domain\charles.burgess,society,4
example_domain\charles.burgess,motor-vehicles,3
example_domain\charles.burgess,games,3
example_domain\charles.burgess,social-networking,3
example_domain\charles.burgess,reference-and-research,1
example_domain\charles.burgess,educational-institutions,1
example_domain\charles.burgess,,1
example_domain\charles.burgess,job-search,1
example_domain\charles.burgess,internet-communications-and-telephony,1
example_domain\charles.burgess,streaming-media,1
example_domain\daniel.pham,computer-and-internet-info,209072
example_domain\daniel.pham,financial-services,11590
example_domain\daniel.pham,business-and-economy,7508
example_domain\daniel.pham,search-engines,3002
example_domain\daniel.pham,insufficient-content,702
example_domain\daniel.pham,content-delivery-networks,393
example_domain\daniel.pham,internet-portals,209
example_domain\daniel.pham,web-advertisements,118
example_domain\daniel.pham,stock-advice-and-tools,81
example_domain\daniel.pham,news,10
example_domain\daniel.pham,reference-and-research,3
example_domain\daniel.pham,internet-communications-and-telephony,2
example_domain\daniel.pham,web-hosting,1
example_domain\sarah.hart,computer-and-internet-info,223454
example_domain\sarah.hart,search-engines,3094
example_domain\sarah.hart,web-advertisements,2310
example_domain\sarah.hart,business-and-economy,1946
example_domain\sarah.hart,content-delivery-networks,489
example_domain\sarah.hart,shopping,463
example_domain\sarah.hart,stock-advice-and-tools,241
example_domain\sarah.hart,news,82
example_domain\sarah.hart,insufficient-content,67
example_domain\sarah.hart,internet-portals,64
example_domain\sarah.hart,training-and-tools,46
example_domain\sarah.hart,motor-vehicles,34
example_domain\sarah.hart,music,22
example_domain\sarah.hart,entertainment-and-arts,22
example_domain\sarah.hart,society,20
example_domain\sarah.hart,reference-and-research,14
example_domain\sarah.hart,social-networking,9
example_domain\sarah.hart,internet-communications-and-telephony,9
example_domain\sarah.hart,financial-services,8
example_domain\sarah.hart,streaming-media,6
example_domain\sarah.hart,job-search,6
example_domain\sarah.hart,personal-sites-and-blogs,4
example_domain\sarah.hart,real-estate,4
example_domain\sarah.hart,travel,2
example_domain\sarah.hart,web-hosting,2
example_domain\sarah.hart,auctions,2
example_domain\sarah.hart,legal,2
example_domain\sarah.hart,religion,2
example_domain\sarah.hart,not-resolved,1
example_domain\sarah.hart,shareware-and-freeware,1
example_domain\sarah.hart,games,1
example_domain\sarah.hart,online-storage-and-backup,1
example_domain\sarah.hart,educational-institutions,1
example_domain\raymond.martin,computer-and-internet-info,220227
example_domain\raymond.martin,search-engines,4790
example_domain\raymond.martin,business-and-economy,1726
example_domain\raymond.martin,web-advertisements,1328
example_domain\raymond.martin,content-delivery-networks,832
example_domain\raymond.martin,stock-advice-and-tools,752
example_domain\raymond.martin,shopping,525
example_domain\raymond.martin,travel,525
example_domain\raymond.martin,internet-portals,408
example_domain\raymond.martin,society,178
example_domain\raymond.martin,training-and-tools,128
example_domain\raymond.martin,entertainment-and-arts,91
example_domain\raymond.martin,web-hosting,84
example_domain\raymond.martin,health-and-medicine,77
example_domain\raymond.martin,insufficient-content,64
example_domain\raymond.martin,news,51
example_domain\raymond.martin,reference-and-research,47
example_domain\raymond.martin,financial-services,25
example_domain\raymond.martin,government,23
example_domain\raymond.martin,internet-communications-and-telephony,23
example_domain\raymond.martin,,19
example_domain\raymond.martin,social-networking,18
example_domain\raymond.martin,job-search,16
example_domain\raymond.martin,streaming-media,16
example_domain\raymond.martin,auctions,11
example_domain\raymond.martin,music,11
example_domain\raymond.martin,real-estate,9
example_domain\raymond.martin,motor-vehicles,8
example_domain\raymond.martin,sports,8
example_domain\raymond.martin,personal-sites-and-blogs,6
example_domain\raymond.martin,translation,6
example_domain\raymond.martin,not-resolved,4
example_domain\raymond.martin,educational-institutions,2
example_domain\raymond.martin,shareware-and-freeware,2
example_domain\raymond.martin,games,1
example_domain\stephanie.khan,computer-and-internet-info,224645
example_domain\stephanie.khan,search-engines,3163
example_domain\stephanie.khan,stock-advice-and-tools,1504
example_domain\stephanie.khan,business-and-economy,601
example_domain\stephanie.khan,web-advertisements,528
example_domain\stephanie.khan,internet-portals,364
example_domain\stephanie.khan,content-delivery-networks,251
example_domain\stephanie.khan,insufficient-content,62
example_domain\stephanie.khan,music,15
example_domain\stephanie.khan,news,14
example_domain\stephanie.khan,entertainment-and-arts,11
example_domain\stephanie.khan,reference-and-research,8
example_domain\stephanie.khan,government,3
example_domain\stephanie.khan,financial-services,3
example_domain\stephanie.khan,translation,2
example_domain\stephanie.khan,shopping,2
example_domain\stephanie.khan,motor-vehicles,2
example_domain\stephanie.khan,not-resolved,1
example_domain\stephanie.khan,training-and-tools,1
example_domain\stephanie.khan,personal-sites-and-blogs,1
example_domain\stephanie.khan,web-hosting,1
example_domain\stephanie.khan,philosophy-and-political-advocacy,1
example_domain\stephanie.khan,games,1
example_domain\stephanie.khan,travel,1
example_domain\stephanie.khan,parked,1
example_domain\daniel.garcia,computer-and-internet-info,222341
example_domain\daniel.garcia,business-and-economy,3406
example_domain\daniel.garcia,search-engines,2608
example_domain\daniel.garcia,stock-advice-and-tools,205
example_domain\daniel.garcia,content-delivery-networks,136
example_domain\daniel.garcia,job-search,101
example_domain\daniel.garcia,internet-communications-and-telephony,41
example_domain\daniel.garcia,web-advertisements,25
example_domain\daniel.garcia,financial-services,9
example_domain\daniel.garcia,internet-portals,7
example_domain\daniel.garcia,news,5
example_domain\daniel.garcia,social-networking,4
example_domain\daniel.garcia,shopping,2
example_domain\daniel.garcia,streaming-media,1
example_domain\daniel.garcia,translation,1
example_domain\daniel.garcia,health-and-medicine,1
example_domain\gabriel.davenport,computer-and-internet-info,223677
example_domain\gabriel.davenport,search-engines,2609
example_domain\gabriel.davenport,business-and-economy,975
example_domain\gabriel.davenport,web-advertisements,757
example_domain\gabriel.davenport,stock-advice-and-tools,327
example_domain\gabriel.davenport,content-delivery-networks,181
example_domain\gabriel.davenport,reference-and-research,66
example_domain\gabriel.davenport,news,54
example_domain\gabriel.davenport,internet-portals,39
example_domain\gabriel.davenport,web-hosting,19
example_domain\gabriel.davenport,insufficient-content,16
example_domain\gabriel.davenport,travel,5
example_domain\gabriel.davenport,translation,4
example_domain\gabriel.davenport,entertainment-and-arts,3
example_domain\gabriel.davenport,music,2
example_domain\gabriel.davenport,financial-services,2
example_domain\gabriel.davenport,games,2
example_domain\gabriel.davenport,job-search,2
example_domain\gabriel.davenport,real-estate,1
example_domain\gabriel.davenport,shopping,1
example_domain\jesse.peterson,computer-and-internet-info,220289
example_domain\jesse.peterson,financial-services,3599
example_domain\jesse.peterson,search-engines,2616
example_domain\jesse.peterson,web-advertisements,645
example_domain\jesse.peterson,business-and-economy,429
example_domain\jesse.peterson,content-delivery-networks,244
example_domain\jesse.peterson,stock-advice-and-tools,240
example_domain\jesse.peterson,sports,36
example_domain\jesse.peterson,job-search,14
example_domain\jesse.peterson,internet-communications-and-telephony,7
example_domain\jesse.peterson,news,5
example_domain\jesse.peterson,BOX,2
example_domain\jesse.peterson,internet-portals,2
example_domain\jesse.peterson,training-and-tools,1
example_domain\jesse.peterson,reference-and-research,1
example_domain\tiffany.wood,computer-and-internet-info,218641
example_domain\tiffany.wood,stock-advice-and-tools,5887
example_domain\tiffany.wood,search-engines,2468
example_domain\tiffany.wood,business-and-economy,989
example_domain\tiffany.wood,content-delivery-networks,93
example_domain\tiffany.wood,news,17
example_domain\tiffany.wood,web-hosting,6
example_domain\tiffany.wood,legal,1
example_domain\tiffany.wood,financial-services,1
example_domain\tiffany.wood,internet-communications-and-telephony,1
example_domain\robert.robinson,computer-and-internet-info,222555
example_domain\robert.robinson,search-engines,2953
example_domain\robert.robinson,business-and-economy,1052
example_domain\robert.robinson,,195
example_domain\robert.robinson,internet-portals,155
example_domain\robert.robinson,stock-advice-and-tools,90
example_domain\robert.robinson,web-advertisements,72
example_domain\robert.robinson,content-delivery-networks,50
example_domain\robert.robinson,news,3
example_domain\robert.robinson,society,1
example_domain\robert.robinson,internet-communications-and-telephony,1
example_domain\robert.robinson,web-hosting,1
example_domain\kevin.cooper,computer-and-internet-info,222262
example_domain\kevin.cooper,search-engines,1901
example_domain\kevin.cooper,internet-portals,678
example_domain\kevin.cooper,business-and-economy,553
example_domain\kevin.cooper,web-advertisements,425
example_domain\kevin.cooper,stock-advice-and-tools,335
example_domain\kevin.cooper,content-delivery-networks,327
example_domain\kevin.cooper,news,23
example_domain\kevin.cooper,financial-services,18
example_domain\kevin.cooper,shareware-and-freeware,12
example_domain\kevin.cooper,games,11
example_domain\kevin.cooper,society,10
example_domain\kevin.cooper,training-and-tools,4
example_domain\kevin.cooper,,3
example_domain\kevin.cooper,travel,2
example_domain\kevin.cooper,web-hosting,2
example_domain\kevin.cooper,entertainment-and-arts,2
example_domain\kevin.cooper,shopping,1
example_domain\kevin.cooper,social-networking,1
example_domain\kevin.cooper,not-resolved,1
example_domain\kevin.cooper,job-search,1
example_domain\kevin.cooper,internet-communications-and-telephony,1
example_domain\ricky.mclaughlin,computer-and-internet-info,223369
example_domain\ricky.mclaughlin,search-engines,2530
example_domain\ricky.mclaughlin,stock-advice-and-tools,143
example_domain\ricky.mclaughlin,content-delivery-networks,70
example_domain\ricky.mclaughlin,internet-portals,37
example_domain\ricky.mclaughlin,business-and-economy,35
example_domain\ricky.mclaughlin,travel,30
example_domain\ricky.mclaughlin,web-advertisements,13
example_domain\sarah.williams,computer-and-internet-info,221028
example_domain\sarah.williams,search-engines,2543
example_domain\sarah.williams,business-and-economy,1520
example_domain\sarah.williams,stock-advice-and-tools,429
example_domain\sarah.williams,web-advertisements,289
example_domain\sarah.williams,content-delivery-networks,158
example_domain\sarah.williams,society,38
example_domain\sarah.williams,financial-services,25
example_domain\sarah.williams,,24
example_domain\sarah.williams,internet-portals,21
example_domain\sarah.williams,news,19
example_domain\sarah.williams,training-and-tools,6
example_domain\sarah.williams,internet-communications-and-telephony,4
example_domain\sarah.williams,translation,3
example_domain\sarah.williams,reference-and-research,3
example_domain\sarah.williams,music,2
example_domain\sarah.williams,job-search,2
example_domain\sarah.williams,insufficient-content,2
example_domain\sarah.williams,entertainment-and-arts,2
example_domain\sarah.williams,real-estate,1
example_domain\sarah.williams,travel,1
example_domain\robert.hill,computer-and-internet-info,216032
example_domain\robert.hill,business-and-economy,6461
example_domain\robert.hill,search-engines,2463
example_domain\robert.hill,educational-institutions,104
example_domain\robert.hill,content-delivery-networks,92
example_domain\robert.hill,stock-advice-and-tools,68
example_domain\robert.hill,financial-services,27
example_domain\robert.hill,job-search,24
example_domain\robert.hill,health-and-medicine,15
